diseaseNID,diseaseClassNID
38,20
61,20
120,20
32,20
91,20
139,20
251,20
261,20
248,20
92,20
185,20
43,20
262,20
298,20
198,20
300,20
299,20
297,20
225,20
231,20
1172,20
289,20
18,20
16,20
18229,20
80,20
233,20
1612,20
11067,7
3216,7
289,7
19219,7
1741,7
5320,7
1025,7
15404,7
75,7
17197,7
37,7
397,7
27008,7
11845,7
19389,7
15406,7
2418,7
174,7
122,7
18651,7
16317,7
1938,7
6368,7
1915,7
13056,7
638,7
5913,7
17820,7
292,7
16351,7
2147,7
16364,7
465,7
177,7
305,7
138,7
17117,7
8805,7
2326,7
14884,7
14324,7
1922,7
9051,7
337,7
20321,7
14943,7
21548,7
2480,7
308,7
1937,7
10033,7
332,7
3340,7
69,7
15837,7
8578,7
17838,7
2669,7
637,7
14325,7
20175,7
1936,7
56,7
341,7
73,7
343,7
15683,7
19519,7
2148,7
17559,7
2410,7
5272,7
395,7
15948,7
448,7
19970,7
21226,7
639,7
6371,7
2124,7
19218,7
16070,7
9322,7
4543,7
54,7
2119,7
57,7
8887,7
4436,7
1267,7
18427,7
20702,7
3082,7
235,7
53,7
2107,7
6372,7
21091,7
15806,7
6370,7
15899,7
14564,7
203,7
10911,7
19813,7
327,7
271,7
15898,7
33,25
4608,25
36,25
15893,25
17825,25
18662,25
11566,25
9742,25
82,25
11181,25
19671,25
17343,25
28752,25
27789,25
16344,25
16587,25
7466,25
10792,25
696,25
4605,25
17834,25
6396,25
21569,25
9395,25
12988,25
18461,25
19656,25
9308,25
19428,25
4274,25
19702,25
11691,25
23453,25
186,25
17482,25
185,25
15707,25
9377,25
17977,25
21440,25
308,25
4276,25
23400,25
21087,25
19863,25
1140,25
5567,25
253,25
229,25
19219,25
6068,25
16620,25
27790,25
21469,25
15950,25
17830,25
29141,25
4132,25
248,25
251,25
29297,25
9969,25
19430,25
20784,25
5964,25
6456,25
16086,25
8228,25
17262,25
1805,25
2175,25
6375,25
9924,25
15809,25
5941,25
5552,25
2080,25
14918,25
250,25
17878,25
17986,25
5939,25
20887,25
11674,25
21292,25
18214,25
6454,25
4629,25
249,25
23457,25
19027,25
4676,25
22703,25
9743,25
14919,25
18403,25
1891,25
11959,25
17559,25
2246,25
4599,25
21517,25
21264,25
18395,25
29353,25
4237,25
17525,25
9753,25
2014,25
9374,25
1668,25
2075,25
15760,25
21550,25
4625,25
4677,25
19362,25
849,25
252,25
5284,25
24,25
247,25
1025,25
17435,25
12824,25
18375,25
6846,25
16576,25
17367,25
21518,25
17798,25
18783,25
5962,25
608,25
18229,25
12148,25
16575,25
22729,25
811,25
17090,25
29326,25
2554,25
10343,25
19395,25
6581,25
5296,25
16083,25
912,25
15702,25
6815,25
245,25
246,25
5963,25
6356,25
5913,25
6865,25
22712,25
17305,25
19197,25
13773,25
244,25
5960,25
9725,25
5945,25
24136,25
20296,25
23407,25
9369,25
17139,25
29309,25
16378,25
15679,25
8343,25
116,25
8303,25
17506,25
13410,25
15910,25
21547,25
15747,25
21315,25
12106,25
5305,25
22903,25
21346,25
40,6
11067,6
21473,6
20931,6
15404,6
16317,6
3,6
721,6
17117,6
2410,6
4224,6
29781,6
332,6
44,6
638,6
15069,6
305,6
5272,6
5294,6
14324,6
326,6
327,6
4217,6
16129,6
4,6
4772,6
21472,6
18365,6
19501,6
225,6
16711,6
22,6
21548,6
16351,6
4629,6
19970,6
16364,6
329,6
22704,6
204,6
2480,6
8578,6
637,6
639,6
15810,6
15806,6
4223,6
3330,6
29294,6
50,6
203,6
6437,6
8376,6
6860,6
20702,6
330,6
41,6
1403,6
29271,6
328,6
6386,6
1368,6
17804,39
21569,39
123,39
17343,39
21635,39
9924,39
18395,39
29333,39
16602,39
16901,39
9308,39
314,39
308,39
116,39
29238,39
29362,28
721,28
93,28
275,28
9369,28
109,28
262,28
117,28
268,28
8040,28
107,28
603,28
302,28
223,28
18403,28
16268,28
15702,28
222,28
13720,28
299,28
197,28
323,28
465,28
28,28
21518,28
9051,28
21517,28
4772,28
257,28
269,28
115,28
29301,28
17232,40
109,40
29245,40
22869,40
22035,40
16542,40
15973,40
20273,40
17804,40
22767,40
15737,40
18929,40
603,40
283,40
15690,40
29333,40
6068,40
16268,40
19863,40
8231,40
20414,40
22703,40
19188,40
29301,40
5976,40
15202,40
6081,40
2148,40
16392,40
222,40
17234,40
8362,40
