diseaseNID,diseaseId,diseaseName,type
3,C0000731,Abdomen distended,phenotype
4,C0000734,Abdominal mass,phenotype
6,C0000737,Abdominal Pain,phenotype
7,C0000744,Abetalipoproteinemia,disease
8,C0000768,Congenital Abnormality,group
9,C0000771,"Abnormalities, Drug-Induced",group
10,C0000772,Multiple congenital anomalies,group
11,C0000786,Spontaneous abortion,phenotype
12,C0000809,"Abortion, Habitual",disease
13,C0000821,Threatened abortion,phenotype
14,C0000822,"Abortion, Tubal",phenotype
15,C0000832,Abruptio Placentae,phenotype
16,C0000833,Abscess,phenotype
18,C0000880,Acanthamoeba Keratitis,disease
19,C0000887,Acantholysis,phenotype
20,C0000889,Acanthosis Nigricans,disease
21,C0000921,Accidental Falls,phenotype
22,C0001075,Achlorhydria,phenotype
24,C0001080,Achondroplasia,disease
25,C0001122,Acidosis,phenotype
26,C0001125,"Acidosis, Lactic",phenotype
27,C0001126,Renal tubular acidosis,phenotype
28,C0001127,"Acidosis, Respiratory",phenotype
30,C0001144,Acne Vulgaris,disease
32,C0001175,Acquired Immunodeficiency Syndrome,group
33,C0001193,Apert syndrome,disease
34,C0001197,Acrodermatitis,disease
35,C0001202,Acrokeratosis,disease
36,C0001206,Acromegaly,disease
37,C0001231,"ACTH Syndrome, Ectopic",disease
38,C0001249,Actinobacillus Infections,disease
40,C0001306,Acute alcoholic liver disease,disease
41,C0001308,Acute and subacute liver necrosis (disorder),disease
43,C0001338,Herpetic Acute Necrotizing Encephalitis,disease
44,C0001339,Acute pancreatitis,disease
47,C0001349,Acute-Phase Reaction,phenotype
50,C0001364,Massive Hepatic Necrosis,phenotype
51,C0001403,Addison Disease,disease
53,C0001418,Adenocarcinoma,group
54,C0001420,Papillary adenocarcinoma,disease
56,C0001429,Adenolymphoma,disease
57,C0001430,Adenoma,group
61,C0001486,Adenovirus Infections,group
63,C0001511,Tissue Adhesions,phenotype
66,C0001546,Adjustment Disorders,group
67,C0001576,Adnexal Diseases,group
68,C0001614,Adrenal Cortex Diseases,group
69,C0001618,Tumors of Adrenal Cortex,group
70,C0001621,Adrenal Gland Diseases,group
72,C0001623,Adrenal gland hypofunction,phenotype
73,C0001624,Adrenal Gland Neoplasms,group
74,C0001627,Congenital adrenal hyperplasia,disease
75,C0001630,Adrenal Rest Tumor,disease
77,C0001723,"Affective Disorders, Psychotic",group
79,C0001733,Afibrinogenemia,disease
80,C0001752,African swine fever,disease
81,C0001768,Agammaglobulinemia,disease
82,C0001787,"Osteoporosis, Age-Related",disease
83,C0001807,Aggressive behavior,phenotype
84,C0001811,Aging,phenotype
85,C0001815,Primary Myelofibrosis,disease
86,C0001816,Agnosia,disease
87,C0001818,Agoraphobia,disease
88,C0001824,Agranulocytosis,disease
90,C0001828,Agricultural Workers' Diseases,group
91,C0001849,AIDS Dementia Complex,disease
92,C0001857,AIDS related complex,disease
93,C0001883,Airway Obstruction,group
94,C0001889,Akinetic Mutism,disease
95,C0001890,Akinetic Petit Mal,disease
96,C0001916,Albinism,disease
97,C0001925,Albuminuria,phenotype
98,C0001948,Alcohol consumption,phenotype
99,C0001956,Alcohol Use Disorder,disease
100,C0001957,Alcohol Withdrawal Delirium,disease
101,C0001969,Alcoholic Intoxication,disease
102,C0001973,"Alcoholic Intoxication, Chronic",disease
104,C0002018,Alexia,disease
106,C0002063,Alkalosis,phenotype
107,C0002064,"Alkalosis, Respiratory",phenotype
108,C0002066,Alkaptonuria,disease
109,C0002103,Atopic rhinitis,disease
111,C0002152,Alloxan Diabetes,disease
112,C0002170,Alopecia,disease
113,C0002171,Alopecia Areata,disease
114,C0002312,alpha-Thalassemia,disease
115,C0002351,Altitude Sickness,phenotype
116,C0002382,Alveolar Bone Loss,disease
117,C0002390,Extrinsic allergic alveolitis,group
118,C0002395,Alzheimer's Disease,disease
119,C0002418,Amblyopia,phenotype
120,C0002438,Amebiasis,disease
122,C0002448,Ameloblastoma,disease
123,C0002452,Amelogenesis Imperfecta,disease
124,C0002453,Amenorrhea,phenotype
125,C0002514,"Amino Acid Metabolism, Inborn Errors",group
126,C0002534,Renal Aminoacidurias,group
127,C0002622,Amnesia,disease
129,C0002624,Retrograde amnesia,disease
130,C0002625,Amnestic Disorder,disease
131,C0002631,Infection of amniotic cavity,disease
133,C0002726,Amyloidosis,disease
134,C0002735,Oppenheim's Disease,disease
135,C0002736,Amyotrophic Lateral Sclerosis,disease
136,C0002768,Congenital Pain Insensitivity,disease
137,C0002792,anaphylaxis,phenotype
138,C0002793,Anaplasia,disease
139,C0002797,Bovine Anaplasmosis,disease
141,C0002871,Anemia,disease
143,C0002874,Aplastic Anemia,disease
144,C0002875,Cooley's anemia,disease
145,C0002876,Congenital dyserythropoietic anemia,disease
146,C0002878,"Anemia, Hemolytic",disease
147,C0002879,"Anemia, Hemolytic, Acquired",disease
148,C0002880,Autoimmune hemolytic anemia,disease
149,C0002881,"Anemia, Hemolytic, Congenital",disease
150,C0002882,"Anemia, Hemolytic, Congenital Nonspherocytic",disease
151,C0002883,"Anemia, Hemolytic, Idiopathic Acquired",disease
152,C0002884,Hypochromic anemia,disease
153,C0002886,"Anemia, Macrocytic",disease
154,C0002888,"Anemia, Megaloblastic",disease
155,C0002889,"Anemia, Microangiopathic",disease
157,C0002891,"Anemia, Neonatal",disease
158,C0002892,"Anemia, Pernicious",disease
159,C0002893,Refractory anemias,disease
