geneNID,geneId,geneName,geneDescription,pLI,DSI,DPI
1,1,A1BG,alpha-1-B glycoprotein,4.9917e-09,0.7,0.538
2,2,A2M,alpha-2-macroglobulin,4.5229e-11,0.529,0.769
4,9,NAT1,N-acetyltransferase 1,1.9294e-14,0.536,0.846
5,10,NAT2,N-acetyltransferase 2,3.2744e-06,0.451,0.885
6,12,SERPINA3,serpin family A member 3,8.833e-14,0.486,0.846
9,15,AANAT,aralkylamine N-acetyltransferase,0.002969,0.67,0.692
10,16,AARS1,alanyl-tRNA synthetase 1,1.8242e-08,0.647,0.462
12,18,ABAT,4-aminobutyrate aminotransferase,0.0063216,0.628,0.538
13,19,ABCA1,ATP binding cassette subfamily A member 1,1.4525e-13,0.467,0.846
14,20,ABCA2,ATP binding cassette subfamily A member 2,1,0.67,0.615
15,21,ABCA3,ATP binding cassette subfamily A member 3,6.6226e-08,0.592,0.615
16,22,ABCB7,ATP binding cassette subfamily B member 7,0.99994,0.678,0.385
17,23,ABCF1,ATP binding cassette subfamily F member 1,1.2823e-09,0.674,0.538
19,25,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",0.99998,0.432,0.923
22,28,ABO,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",,0.427,0.885
27,33,ACADL,acyl-CoA dehydrogenase long chain,1.743e-12,0.736,0.462
28,34,ACADM,acyl-CoA dehydrogenase medium chain,2.0548e-12,0.638,0.462
29,35,ACADS,acyl-CoA dehydrogenase short chain,2.8026e-06,0.663,0.538
30,36,ACADSB,acyl-CoA dehydrogenase short/branched chain,2.6565e-11,0.691,0.5
31,37,ACADVL,acyl-CoA dehydrogenase very long chain,4.2385e-15,0.653,0.654
32,38,ACAT1,acetyl-CoA acetyltransferase 1,9.8525e-08,0.538,0.692
34,40,ASIC2,acid sensing ion channel subunit 2,0.99912,0.653,0.538
36,43,ACHE,acetylcholinesterase (Cartwright blood group),0.99827,0.445,0.885
39,48,ACO1,aconitase 1,3.8322e-18,0.628,0.577
41,50,ACO2,aconitase 2,0.20791,0.619,0.654
42,51,ACOX1,acyl-CoA oxidase 1,0.062095,0.61,0.731
43,52,ACP1,acid phosphatase 1,1.7531e-08,0.566,0.731
45,54,ACP5,"acid phosphatase 5, tartrate resistant",0.078651,0.561,0.731
48,58,ACTA1,"actin alpha 1, skeletal muscle",1.1385e-06,0.54,0.769
49,59,ACTA2,"actin alpha 2, smooth muscle",0.93017,0.508,0.846
50,60,ACTB,actin beta,0.98564,0.325,0.923
52,70,ACTC1,actin alpha cardiac muscle 1,0.73668,0.61,0.538
53,71,ACTG1,actin gamma 1,0.0047837,0.477,0.846
54,72,ACTG2,"actin gamma 2, smooth muscle",0.071036,0.505,0.808
55,81,ACTN4,actinin alpha 4,1,0.508,0.808
60,90,ACVR1,activin A receptor type 1,0.3254,0.535,0.731
62,92,ACVR2A,activin A receptor type 2A,0.99972,0.636,0.615
64,94,ACVRL1,activin A receptor like type 1,0.00096719,0.493,0.769
65,95,ACY1,aminoacylase 1,6.9169e-09,0.653,0.577
68,100,ADA,adenosine deaminase,2.8825e-12,0.44,0.885
69,101,ADAM8,ADAM metallopeptidase domain 8,2.1983e-14,0.59,0.731
70,102,ADAM10,ADAM metallopeptidase domain 10,1,0.489,0.846
71,103,ADAR,adenosine deaminase RNA specific,0.026282,0.501,0.808
72,104,ADARB1,adenosine deaminase RNA specific B1,0.80347,0.588,0.654
73,105,ADARB2,adenosine deaminase RNA specific B2 (inactive),0.85603,0.716,0.308
